050045,17.6,12.3,14.9,19.2,23.8,19.7
050046,None,,11.7,None,21.1,15.8
050047,15.0,11.3,9.7,17.6,21.9,16.7
050054,16.2,12.3,16.7,18.2,24.2,17.5
050055,None,9.5,12.2,None,22.5,18.8
050056,15.8,10.7,16.7,17.7,22.9,20.2
050057,21.0,10.8,12.5,19.1,21.5,15.7
050058,12.4,7.9,10.7,19.7,25.3,17.4
050060,14.0,11.1,13.3,18.7,25.6,19.9
050063,15.0,9.3,9.2,19.4,23.6,18.2
050067,None,12.1,13.3,None,24.1,18.1
050069,15.7,12.2,15.5,16.3,21.8,15.4
050070,None,,,None,None,None
050071,None,12.1,,None,24.9,None
050072,None,,,None,None,None
050073,None,,14.6,None,23.4,17.3
050075,None,11.6,,None,23.4,None
050076,None,,,None,None,None
050077,13.6,8.6,9.5,16.6,23.8,17.7
050078,15.4,11.5,11.5,19.4,21.6,18.0
050079,13.3,10.3,12.5,17.6,21.9,15.6
050082,14.0,10.4,13.2,18.2,21.5,16.8
050084,18.5,12.9,15.6,19.0,23.6,16.6
050089,15.5,9.8,11,None,23.6,17.9
050090,None,10.2,10.5,None,18.9,15.7
050091,None,9,11,None,22.4,18.6
050093,14.0,11.8,13.1,18.3,23.7,17.7
050096,None,,,None,None,None
050099,14.8,9.8,12,18.1,21.7,14.2
050100,15.7,12.4,12.8,18.8,21.6,17.0
050101,16.0,11.7,11.7,18.0,22.8,16.0
050102,16.4,11.2,10.4,18.2,22.6,17.9
050103,14.3,8.7,8.4,19.1,22.8,16.7
050104,14.3,8.4,10.3,18.4,20.6,16.8
050107,18.1,12.7,14.3,16.7,22.3,15.9
050108,14.5,10.5,11.2,17.3,21.6,17.0
050110,16.0,12.9,15.4,None,21.2,16.2
050111,14.5,9.3,10.5,18.3,23.2,17.3
050112,13.9,8.5,8.6,18.7,24.7,20.6
050113,None,,14.8,None,None,17.5
050115,16.2,10.3,12.1,16.7,23.1,16.5
050116,13.0,8.6,9.6,17.8,22.6,16.8
050118,15.6,14,11.2,19.3,27.9,18.1
050121,16.7,11.7,14,18.2,23.8,18.1
050122,16.8,15.3,12.5,18.7,23.7,16.5
050124,16.6,9.7,12.6,18.2,21.7,16.6
050125,13.9,7.8,9.9,17.7,23.7,16.9
050126,14.8,9.1,10.3,17.3,25.1,17.4
050127,15.2,13.6,16.9,None,20.5,18.0
050128,15.8,13.5,13.3,17.2,21.1,15.9
050129,15.6,10.6,11.9,18.8,22.7,16.1
050131,14.2,11.6,11.5,None,20.6,16.6
050132,15.8,10,9.6,20.0,23.3,21.6
050133,16.0,14.5,13.4,17.5,21.9,18.8
050135,None,10.1,9.2,18.8,22.4,16.9
050136,14.6,11.2,18,17.7,21.2,17.7
050137,None,10.7,,None,25.6,None
050138,None,,,17.9,None,None
050139,None,,,None,None,None
050140,None,12.2,10.3,None,21.5,17.1
050145,13.6,11.4,12.6,16.7,18.5,16.4
050146,None,,12.1,None,None,17.2
050149,13.9,8.1,12,None,25.1,18.7
050150,13.3,12.7,10.6,17.9,24.1,20.1
050152,16.0,11.2,13.4,None,22.5,19.9
050153,13.8,14.2,14.1,19.2,22.0,16.6
050158,13.3,9.7,9.9,17.9,24.7,17.4
050159,None,13.4,14,None,21.9,15.9
050167,None,14.7,15.3,None,22.3,17.4
050168,13.3,10.3,11.4,17.2,21.5,16.8
050169,13.2,11.2,8.9,17.9,23.1,16.3
050174,14.5,13.8,12.5,15.9,18.4,15.9
050179,13.7,12.8,11.7,19.6,23.8,19.8
050180,14.5,10,9.7,17.4,18.1,16.8
050189,None,10.6,12.5,None,23.3,17.0
050191,13.8,9.7,9.5,19.2,23.2,17.1
050192,None,10,13.4,None,22.9,17.8
050194,16.6,12.9,11.5,18.6,22.5,19.1
050195,13.9,10.2,11.2,18.5,25.2,20.4
050196,None,10.5,13.1,None,21.0,18.2
050197,13.8,9.6,10.1,16.4,23.1,16.7
050204,15.3,10.8,11.1,18.2,24.2,15.8
050205,14.1,10.2,7.9,18.0,21.2,16.5
050211,13.8,11.5,9.6,18.7,24.0,17.7
050222,12.1,10.2,10.5,16.8,21.2,15.2
050224,14.1,11.8,10.7,16.8,21.6,17.7
050225,15.4,11.2,10.8,17.4,20.3,15.5
050226,15.3,10.6,8.9,20.4,21.9,16.9
050228,17.7,12.9,9,19.0,25.5,16.8
050230,13.8,9.1,8.5,17.1,23.2,16.7
050231,14.5,10.2,10.7,15.9,24.4,18.4
050232,11.8,13.1,13.6,16.5,23.6,15.0
050234,None,12,11.4,None,21.6,17.7
050235,13.3,9.8,9.2,18.3,21.4,18.8
050236,14.3,10.9,9.5,20.4,24.6,14.9
050238,14.2,10.4,11.1,17.8,20.4,16.1
050239,10.6,8.5,8,19.1,24.6,18.3
050242,15.7,15.5,13.6,17.5,18.8,15.4
050243,15.7,13.8,11.6,17.3,21.7,16.5
050245,17.8,10.7,13.5,17.9,23.5,19.8
050248,15.5,12.3,13.7,None,24.1,17.3
050254,15.1,10.4,9.9,16.9,23.0,19.1
050257,None,10.8,9.9,None,24.6,16.8
05025F,15.2,13.4,13.4,18.8,26.4,18.3
050261,13.7,14.5,17.1,18.5,22.6,15.7
050262,14.0,8.2,8.6,20.6,23.0,17.8
050272,15.0,11.7,15.8,18.7,23.0,18.3
050276,None,11.4,12.6,None,22.1,19.0
050277,None,11.1,11.1,None,25.6,17.7
050278,14.3,7.7,9.5,19.4,24.1,17.4
050279,16.8,12.5,13.8,None,22.3,18.6
05027F,14.6,10.2,11.9,20.0,26.7,18.3
050280,15.5,14.5,12.6,15.5,18.9,14.3
050281,14.7,9.9,9.1,17.9,23.1,16.1
050283,15.2,10.2,11.8,18.9,23.3,16.9
050289,17.1,12.2,11.5,20.6,23.4,18.1
050290,13.3,11.2,10.9,16.1,24.9,16.9
050291,15.2,13.2,10.9,17.1,20.7,17.8
050292,14.6,11.1,15,18.0,24.8,19.0
050295,16.1,12.3,12.5,18.7,25.6,18.7
050296,14.2,11.8,14.9,None,24.9,18.5
050298,17.0,10.5,11.1,None,21.0,18.3
050300,12.8,11.6,10.7,18.8,25.4,18.7
050301,16.0,16.9,12,None,23.9,16.7
050305,15.9,12,10.9,18.8,21.3,18.5
050308,15.0,10.7,9.8,16.9,20.3,17.4
050309,14.1,10.6,11.3,15.0,19.8,16.9
05030F,13.1,13.2,10.5,18.5,22.2,16.4
050313,16.5,12.5,12.4,None,24.4,16.6
050315,None,,,None,24.1,None
05031F,13.4,10.3,12.2,18.9,22.6,19.1
050320,None,11.2,12.5,None,25.8,17.3
050324,14.2,11.2,9.1,16.2,22.0,19.8
050327,13.8,11.3,12.2,18.4,25.5,18.5
050329,15.5,12.1,12.7,19.4,23.3,18.8
050334,15.0,12.3,13.3,17.1,22.1,16.1
050335,15.9,13.9,10.5,18.1,19.7,15.7
050336,18.0,12.3,12.8,18.1,22.2,18.0
050342,13.6,9.7,11.5,19.2,24.7,17.6
050348,13.8,11.4,11,19.6,21.9,18.5
050349,None,,,None,None,None
050350,14.5,8.5,9.9,20.3,22.4,18.1
050351,14.2,10.5,12,18.8,23.1,18.6
050352,None,10.3,12.9,None,21.5,17.5
